exp_id,T,dt,q_target_1,q_target_2,q_target_3,q_target_4,q_target_5,q_target_6,q_start_1,q_start_2,q_start_3,q_start_4,q_start_5,q_start_6,q_final_1,q_final_2,q_final_3,q_final_4,q_final_5,q_final_6,err_1,err_2,err_3,err_4,err_5,err_6,err_rms,err_max,success
1,3.000,0.0200,0.7000,-0.4400,0.6100,-0.3500,0.3500,0.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7000,-0.4400,0.6100,-0.3500,0.3500,0.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
2,3.600,0.0200,1.0500,-0.7000,0.8700,-0.5200,0.5200,0.3500,0.7000,-0.4400,0.6100,-0.3500,0.3500,0.2600,1.0500,-0.7000,0.8700,-0.5200,0.5200,0.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
3,3.200,0.0200,0.7900,-0.4400,0.6100,-0.2600,0.2600,0.1800,1.0500,-0.7000,0.8700,-0.5200,0.5200,0.3500,0.7900,-0.4400,0.6100,-0.2600,0.2600,0.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
4,3.500,0.0200,-0.4400,0.2600,-0.6100,0.1800,-0.3500,-0.1800,0.7900,-0.4400,0.6100,-0.2600,0.2600,0.1800,-0.4393,0.2371,-0.5968,0.1799,-0.3500,-0.1800,0.0007,0.0229,0.0132,0.0001,0.0000,0.0000,0.0108,0.0229,1
